year;idhous;region;refper;hldtyp;nbpers;nbkid;aduk1;aduk2;idispy;hdbgt;idpers;sex;age;edcat;occupa;iavsy;relarp;idspou;civsta;maxcop;ownkid;edyear;mnist;nat_1;nat_2;nat_3;permit;hab_ch;plingu
2003;51;Lake Gen;5101;one pers;1;0;0;0;58058.79688;8317.957024;5101;man;42;vocation;full-tim;inapplicable;Referenc;inapplicable;divorced;0;2;16;33.224228;Switzerl;Italy;inapplic;inapplic;since bi;french
2003;271;Lake Gen;27101;couple w;5;3;0;0;62375.42969;12258.14875;27101;woman;35;compulso;child. w;inapplicable;Referenc;27102;married;14;3;9;60.873891;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;341;Lake Gen;34101;one pers;1;0;0;0;64287.60156;9161.987991;34101;woman;38;full-tim;full-tim;inapplicable;Referenc;inapplicable;single.;0;0;12;55.337088;Switzerl;inapplic;inapplic;inapplic;1965;french
2003;421;Lake Gen;42101;couple w;3;1;0;0;91874.39844;15483.24508;42101;man;30;vocation;full-tim;inapplicable;Referenc;42102;married;6;2;16;31.815392;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;741;Lake Gen;74101;couple w;5;3;0;0;58955.62109;11522.09407;74101;man;43;apprenti;full-tim;inapplicable;Referenc;74102;married;20;3;12;49.877664;Italy;inapplic;inapplic;resident;1971;french
2003;881;Lake Gen;88101;couple w;2;0;0;0;114207.2031;19365.66363;88101;man;69;vocation;retired;67210;Referenc;88102;married;40;2;16;30.101144;Switzerl;inapplic;inapplic;inapplic;1977;french
2003;991;Lake Gen;99101;one pers;1;0;0;0;48538.60156;9874.220928;99101;woman;74;compulso;retired;25200;Referenc;inapplicable;widower/;0;2;9;64.79646;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;1041;Lake Gen;104102;couple w;2;0;0;0;82433.20313;13108.08689;104102;man;75;vocation;retired;;Referenc;104101;married;44;2;16;31.897492;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;1121;Lake Gen;112101;couple w;2;0;0;0;42747.57422;8841.514273;112101;man;68;apprenti;retired;30200;Referenc;112102;married;43;2;12;53.312064;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;1171;Lake Gen;117102;couple w;5;2;1;0;146699;29312.36995;117102;woman;43;universi;part-tim;inapplicable;Referenc;117101;married;24;3;18;25.454052;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;1181;Lake Gen;118102;couple w;2;0;0;0;45217;8228.132224;118102;woman;29;apprenti;full-tim;inapplicable;Referenc;118101;married;9;3;12;50.65104;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;1411;Lake Gen;141102;couple w;2;0;0;0;67328.20313;11153.27834;141102;woman;82;compulso;retired;19000;Referenc;141101;married;57;3;9;70.754385;Switzerl;inapplic;inapplic;inapplic;1921;french
2003;1551;Lake Gen;155102;couple w;4;2;0;0;69040;9846.72736;155102;woman;46;apprenti;child. w;inapplicable;Referenc;155101;married;27;2;12;50.656128;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;1651;Lake Gen;165102;couple w;2;0;0;0;59984.60156;11419.90506;165102;woman;63;apprenti;child. w;5670;Referenc;165101;married;38;2;12;55.94256;Switzerl;France a;inapplic;inapplic;1958;french
2003;1811;Lake Gen;181102;couple w;4;2;0;0;70242;11492.15808;181102;man;39;universi;full-tim;inapplicable;Referenc;181101;married;8;2;18;24.48696;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;1831;Lake Gen;183101;one pers;1;0;0;0;63687.80078;11248.23638;183101;man;38;full-tim;full-tim;inapplicable;Referenc;inapplicable;single.;0;0;12;50.335584;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;2121;Zurich;212102;couple w;2;0;0;0;124198.7969;17970.62626;212102;man;33;universi;full-tim;inapplicable;Referenc;212101;single.;0;2;18;24.99909;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;2201;Lake Gen;220101;couple w;2;0;0;0;112588.6016;16732.47511;220101;man;55;apprenti;full-tim;inapplicable;Referenc;220102;married;32;2;12;53.164512;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;2291;Lake Gen;229102;one pers;1;0;0;0;40822.60156;8064.85468;229102;woman;54;full-tim;child. w;48000;Referenc;inapplicable;widower/;0;2;12;53.663136;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;2511;Lake Gen;251102;couple w;3;1;0;0;114838.3984;19684.13004;251102;woman;43;universi;part-tim;inapplicable;Referenc;251101;married;19;1;18;26.054316;Switzerl;inapplic;inapplic;inapplic;1960;french
2003;2581;Lake Gen;258101;couple w;5;3;0;0;88538.42969;16197.44687;258101;woman;45;apprenti;part-tim;inapplicable;Referenc;258102;married;19;3;12;52.945728;Switzerl;Israel;inapplic;inapplic;since bi;french
2003;2711;Lake Gen;271101;couple w;2;0;0;0;128904.6016;21797.73415;271101;man;71;PhD;retired;130800;Referenc;271102;married;48;3;21;9.423582;Switzerl;inapplic;inapplic;inapplic;since bi;french
2003;2801;Lake Gen;280102;couple w;2;0;0;0;54289.57422;8008.659194;280102;woman;69;technica;retired;18360;Referenc;280101;married;44;2;16;33.43112;Switzerl;inapplic;inapplic;inapplic;since bi;french
